Brewery,Section,Subsection,Beers,
903 Beer ,B,11, Kilt Switch Scotch ale; Texas imperial Pils; Hurricane Slushy Berliner; Dr. Seltzer hard seltzer;,
Angry Chair ,B,10, Rocky Road imperial sweet stout; Tee Time Berliner; Zest in Peace wheat ale;,
Aporia Coffee ,A,13, Cold brew coffee; Espresso *NA*;,
Ardennes ,C,4, Summer Farm Ale; Hibiscus Passionfruit Sour; Dubbel;,
Arkane ,B,2, Sunnyside DIPA; Grandma Fingers blueberry cobbler sour;,
Athletic Brewing ,T,4, Mexican lager; Seasonal TBA *NA*;,
Aurora ,T,1, Blumen IPA; White Chocolate Cherry Berry Blender sour;,
Badlands ,B,4, Baby Kiwi pale ale; Distorted Re(ale)ity pale ale;,
Beelzebubbles ,C,21," Hard seltzers, Limeade; Moscado Lemonade; Blood Orange Punch;",
Big Ditch ,C,17, Pineapple Burner IPA; Strawberry Vision sour; West Coast Burner IPA; Natural Blonde Belgian blonde;,
Birdhouse ,C,5, Archimedes Belgian dark strong; Mexican lager; Falcon NEIPA;,
BlackBird ,A,3, Cluster Honey cider; Summer cider (strawberry prickly pear);,
Blood Brothers ,B,3, Reverend Kane Rum Barrel Aged Imperial Stout; Blood Light pale ale; Bloodvar Czech Pils; Stone Fruit Steve Austin session cherry blackberry sour;,
Brewlihan ,B,10, Serum-S025 pineapple coconut session mead; Blueberry pomegranate session mead; Serum-S017.1 fruit punch;,
BriarBrothers ,A,15, 8 Hour Custom NEIPA; Savages Kolsch; Punch Bowl (peaches & cream) sour;,
Bright Path ,D,5," Coalport Czech dark, Helles (German gravity keg!);",
Bullfinch ,C,15, Hex Hefeweizen; Into the Underdark blackberry mojito sour;,
Celestial ,B,8, Chaotic Orbit NEIPA; Chat Room WC Pils; Odysseus TIPA;,
Cinderlands ,D,2, Cindi's Hard Mountain Tea; Lil Cinder Light Lime; Mango Breaker (sour mango IPA);,
Counterpart ,A,1," Mamba hazy DIPA; Breathe hazy IPA; Zombie (Black currant, mango, coconut cream) smoothie sour; BA treats;",
Dancing Gnome ,D,3, TBA;,
Dewey ,B,12, Strawberry Pretzel Salad Gose; El Trono Mexican lager; Double Your Circuits DIPA; Secret Machine,
Eli Fish ,A,19, The Final Cap blended BA beer; tba;,
Embark Cider ,T,3, Taste of Paradise; Strawberry Rhubarb; The Batch;,
Eredita ,D,8, Just Be Helles lager; Over Zealous DIPA; The Usual IPA;,
Faircraft ,C,10, Intrepid blonde stout; For Elise Vienna lager; Holle's Little Pilsner;,
Fidens ,A,16, Eugene's Axe DIPA; Roaming with Fireflies IPA;,
Fifth Frame ,C,3, Dizzny Blizzy heavily fruited sour; Up the Road DIPA; Lucerna Czech Pils;,
Finback ,B,9, Little Coconut snacky imperial stout; Whale Watching DIPA; Smooth Beats Miami coconut IPA;,
Frequentem ,A,18, Natural Flavors Strawberry sour IPA; Just Fruit Peach Mango heavily fruited sour; Get Pitted (light lager with fruits of the sun);,
Froth ,T,5, Juice Life IPA; Concord Grape Liquid Lollipop heavily fruited sour;,
Genesee ,M,Genesee branded stand near main entrance, GBH Helles; Alora Cream Ale; 12 Horse;,
Grimm ,C,19, The Open Work,
Grow ,A,17, The Wilds Hazy IPA; Haus Effect lager (LUKR pour); BA A Dark Bloom imperial stout with coconut;,
Happy Gut ,A,12, Sun Wukong (Chinese green tea ferment); Lapsang Souchong (smoked Chinese black tea); Chimera (green + white tea blend); Echinacea. (NA);,
Heavy Reel ,B,13, THYKK mango lassi sour; LUUV pineapple whip sour; LUUV orange whip sour; Drowning Clown DIPA;,
Human Robot ,A,16,  Polotmavy Czech amber lager;,
Illumination Mead ,C,9, Maple Bourbon Grapefruit; Soda Series, Chem Trails;
Imprint ,B,1, Banana Nirvana imperial stout; Schmoojee Patisserree Raspberry Cheesecake smoothie sour; Gloopfellas Schmoojee smootie sour; Sun Lust hazy DIPA;,
Iron Tug ,D,1, Dry-hopped Cream Ale; Shore Leave Pineapple Upside Down Cake sour; Barley One BA barleywine; Avast! blueberry cobbler sour;,
Irondequoit ,C,11, Espresso Three Shores almond stout; No Filter,
Jack's Abby ,T,8,  Porch Fest lager; Bella Lago Italian Pils;,
K2 Brothers ,T,11,  K2 lite (with fruit); Kylix NEIPA; Raspberry Lemonade Sour; Spicy Bloody Mary Dill Pickle Sour;,
Katboocha ,C,16, Two seasonal flavors (*NA*);,
Kettlehead ,B,15, Pulpy IPA; Pulp Up The Late Night Jams imperial sour (Definitive collab); Cereal Killer imperial stout; No Time To Die TIPA (Modestman collab);,
Knucklehead ,C,12, Basil lemon blueberry hard seltzer; new hazy IPA;,
Laurentide ,A,4, Penn Yan Ice; TBA;,
Living Roots ,A,9, Mix of FLX and Australian wines;,
Lock 32 ,E,2, No Wake (orange pineapple sour aged in gin barrel); Mixed berry hard seltzer;,
Magnanimous ,B,14, Juice Lord hazy DIPA; Green Place IPA; Dark Messenger vanilla porter; Never Ending Game DIPA;,
Masthead ,D,9," Hazy Headlines IPA; Oni Giri rice lager; Cleveland Experiment, Vol. 3 hazy IPA; Lizard People, Dear Reader hazy DIPA;",
Matron ,B,6, Memento Mori Mild with Earl Grey; Janky IPA; Dapper Vienna Lager;,
Meier's Creek ,T,7, Berry Manilow sour; Looks Good on You Though hazy IPA;,
Mighty Squirrel ,T,2, Cloud Candy hazy IPA; Sour Face,
Mortalis ,C,23, Chimera fruited sour; Happy Learned to Putt DIPA; a surprise?!;,
Naked Dove ,C,2, 2015 Barleywine; 2018 BA Russian Imperial Stout; Helles; Doppelbock;,
Naples ,A,11, NYIPA; Raspberry Lemon Kolsch;,
Nine Spot ,T,12,  You Bet Your Dupa I’m Polish Grodziskie; NSB ESB; Get Bee to a Nunnery golden ale;,
Noble Shepherd ,A,5, Citra Citra Citra NEIPA; Mise en Place,
Okay ,A,14, Bock on Wood (wood-aged Helles bock); Curuba Kolsch; Frisco Kid WC IPA;,
Old Thunder ,D,4, TBA;,
Other Half ,C,8, Solo Exhibition,
Preservation ,D,3, Full Rolling (Belgian white with sumo oranges); Tin Plate (chocolate raspberry stout aged in Cab Sauv barrel);,
Prison City ,T,9, DDH Mass Riot IPA; Tangerine Wit; Hops Springs Eternal NYS lager; Dark in Daytime stout;,
Resurgence ,A,2, Nocturnal Pivo; 10th anniversary IPA; On the Tea iced tea lemonade sour;,
Rising Storm ,C,18, Rhymenoceros New Zealand Pils; Infinite Citra dipa; Bumbleberry It Was Written sour IPA;,
Rohrbach ,M,Rohrbach branded stand near main entrance," Helles, Sunset Sorbet, Nautical Mile and Sam Patch Porter;",
Sager ,C,20, Sager Landbier (German amber lager); University Ave Pale Ale; Jessica Rabbit Red WC red ale; Mr. Socko's Saison;,
Seed + Stone ,C,13, Azacca hop cider; Do you like jazz (braggot);,
Silver Lake ,A,10, Horse with no Name (barrel-fermented Flanders-inspired sour brown); Rauchbier smoked amber lager; Biere de Mars (clean) saison;,
Sloop ,T,6, Olney in NY hazy IPA; TBA;,
Smoldered Society ,E,1,  Strike Anywhere lager; Chaos by Design imperial stout (Mortalis collab); Neck Breaker (Metal Injection collab); Mass Delusion hazy IPA;,
Stoneyard ,C,22, Yes... A Pudding Beer (Note,
Strange Design ,C,14, ESB cask; Pucker up Sweetie hibiscus punch sour;,
Strangebird ,C,7, Salus saison; Unfettered Soul hazy DIPA; Whale Herder cream ale; Blackbird IPA collab;,
Swiftwater ,C,6, Polotmavy Pivo; Is This Beer? Raspberry Lime sour; Swifty Shifty light lager; Makin' Waves hazy pale;,
Third Moon ,B,5, Bone Twig NE pale; Bone Tree NEIPA; Selected 4th Anniversary DIPA;,
Three Heads ,T,13, Barrel-Aged Baltic porter; Seabreeze Summer Ale;,
Troegs ,T,10, Graffiti Highway IPA; Freaky Squeeze spiked lemonade;,
Trophy ,D,7, TBA (but I guarantee it will be delicious);,
True History ,B,7, Vienna Classic Vienna lager; Mild Lockout Munich-style Helles lager;,
Underground Beer Lab ,A,7, Variable IPA; Vast Expanse hazy IPA; Conceptual DIPA;,
Wayland ,A,8, TBA;,
Wayward Lane ,A,6, Grodziskie; Outskirts hazy pale ale;,
Wild East ,D,6," L’Ultima Moda Italian Pilsner, Prudence English Mild, First Pitch American Pale Ale, TBA.",
